Title,type,ERC
Statement of Reasons for Business Plan Regulations 2023,Public Notice,GERC
"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation) (First Amendment) Regulations, 2023",Public Notice,GERC
"DERC (Terms and Conditions for Determination of Tariff) (First Amendment) Regulations, 2023",Public Notice,GERC
"DERC (Business Plan) Regulations, 2023",Public Notice,GERC
"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Fourth Amendment) Guidelines, 2022",Public Notice,GERC
Revocation of Order dated 10.01.2022,Public Notice,GERC
"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Third Amendment) Guidelines, 2021",Public Notice,GERC
"Open Access Charges and related matters (Fourth Amendment) Order, 2021",Public Notice,GERC
Revocation of Order dated 27.04.2021,Public Notice,GERC
Order dated 27.04.2021 in the matter of Suspension of Standards of Performance,Public Notice,GERC
