Title,type,ERC
Notice dated 18/05/23 for Petition Number 1981 of 2023 - Obra-C Badaun Transmission Limited vs UPPTCL and ors - Seeking  direction to the respondent No. 1- UPPTCL and Respondent No. 2 -UPRVUNL to reimburse the cost of modification work for LILO of 765 KV Anpara  D- Unnao Transmission Line in Compliance to UPERC Order Dated 21.11.2022 in Petition no 1981/2023,Public Notice,GERC
Notice dated 18/05/23 for Petition Number IA 1 of 1959 of 2023 - Ghatampur Transmission Limited vs UPPCL UPPTCL and ors -  Miscellaneous application under Section 94(2) of EA 2003 read with Section 86 of EA 2003  -  Seeking Compensation on Account of force majeure and change in law events and other consequential reliefs in Petition no 1959/2023,Public Notice,GERC
"Notice dated 15/05/23 for 1978 of 2023 - NPCL - Short Term  Power : Approval of  PPA and Adoption of Tariff discovered through Competitive Bidding for Procurement of up to 100 MW Thermal Power from 1st June, 2023 to 30th September 2023 by NPCL in Petition no 1978/2023",Public Notice,GERC
"Public Notice for hearing for 1951 of 2023 - NIDP Developers - Petition under section 14(b) and Section 15 of the EA 2003 read with UPERC (General Condition s of Distribution License) Regulations, 2004 and Distribution of Electricity License Additional Requirements of Capital Adequacy, Creditworthiness and Code of Conduct) Rules, 2005 as amended in 2022 and UP Data Centre Policy 2021 as amended for grant of Distribution License to the petitioner for the Data Centre Park situated at Greater Noida, Uttar Pradesh.",Public Notice,GERC
"Notice dated 26/04/23 for 1955 OF 2023 - Jaiprakash Power Ventures Limited VS UPPCL -- Direction to respondent to pay water tax required to be paid by the petitioner to the Govt. of Uttarakhand, water department (Water Department, GoUK) in Petition no 1955/2023",Public Notice,GERC
Notice dated 26/04/23 for 1956 of 2023- UPPCL vs Mawana Sugar - Seeking Approval of Amended Power Purchase Agreement dated 03.01.2023 signed  between Mawana Sugars Ltd. and UPPCL to reduce the installed capacity from 54.5 MW (27.4 MW + 27.4 MW)to 50.5 MW (23.4 MW + 27.1 MW) in Petition no 1956/2023,Public Notice,GERC
"Notice dated 26/04/23 for 1961 OF 2023- Tata Power Renewable Energy Ltd. VS UPPCL, UPNEDA - Seeking declaration of event of Change in Law due to change inGST on the  Civil  & Suply Works vide  MoF notification  No. 8/2021 Central Tax (rate )date 30.09.2021 (ii) Approval  of the cost incurred due to change in the rate of  GST along with affidavit. in Petition no 1961/2023",Public Notice,GERC
"Notice dated 26/04/23 for 1962 OF 2023- Tata Power Renewable Energy Ltd. VS UPPCL, UPNEDA - Seeking declaration of event of Change in Law due to change inGST on the  Civil  & Suply Works vide  MoF notification  No. 8/2021 Central Tax (rate )date 30.09.2021 (ii) Approval  of the cost incurred due to change in the rate of  GST along with supporting affidavit. in Petition no 1962/2023",Public Notice,GERC
"Notice dated 26/04/23 for 1965 of 2023 - NPCL - Procurement of short term power , seeking approval of power  purchase agreements and adoption of Tariff discovered through Competitive Bidding  for Procurement of Hydro Power with HPO from 1st July, 2023 to 31st August, 2023 by NPCL in Petition no 1965/2023",Public Notice,GERC
"Notice dated 26/04/23 for 1966 of 2023 - NPCL - Procurement of short term power , seeking approval of power  purchase agreements and adoption of Tariff discovered through Competitive Bidding  for Procurement of Non Solar Renewable Energy Power From 1st August, 2023 to 30th September, 2023 by NPCL in Petition no 1966/2023",Public Notice,GERC
