Title,type,ERC
Order dated 29/05/23 for 1928 of 2022 - UPRVUNL vs UPPCL MVVVNL PVVNL PuVVNL DVVNL KESCO NPCL - Resubmission of MYT petition for approval of ARR and Determination of Tariff for FY 2019-20 to FY 2023-24 in respect of Harduaganj  1 x 10 MW  Thermal Power Station of UPRVUNL in Petition no 1928/2022,Public Notice,GERC
Order dated 29/05/23 for 1930 of 2022 - UPRVUNL vs UPPCL MVVVNL PVVNL PuVVNL DVVNL KESCO NPCL - Resubmission of MYT petition for approval of ARR and Determination of Tariff for FY 2019-20 to FY 2023-24 in respect of Harduaganj Extension 2 x 250 MW  Thermal Power Station of UPRVUNL in Petition no 1930/2022,Public Notice,GERC
Order dated 29/05/23 for 1932 of 2022 - UPRVUNL vs UPPCL MVVVNL PVVNL PuVVNL DVVNL KESCO NPCL - Resubmission of MYT petition for approval of ARR and Determination of Tariff for FY 2019-20 to FY 2023-24 in respect of Parichha  2 x 110 MW  Thermal Power Station of UPRVUNL in Petition no 1932/2022,Public Notice,GERC
Order dated 25/05/23 for-suomoto proceeding on Non Compliance of Commission order dated 17.05.2019 in the matter of Suo moto proceedings in implementation of 13th Amendment of Electricity Supply Code,Public Notice,GERC
Order dated 25/05/23 for 63 SM of 2023 Non Compliance of UPERC CGRF Regulations 2022,Public Notice,GERC
Order dated 25/05/23 for 1958 of 2023 -NPCL - Seeking partial review of the Mid Term  Review of Business Plan Order dated 22.11.2022 passed by this Commission in Petition No. 1526 of 2019 in Petition no 1958/2023,Public Notice,GERC
Order dated 24/05/23 for 1935 of 2022 - UPRVUNL vs UPPCL and ors - Resubmission of MYT petition for approval of ARR and Determination of Tariff for FY 2019-20 to FY 2023-24 in respect of Obra B   5 x 200 MW  Thermal Power Station of UPRVUNL in Petition no 1935/2022,Public Notice,GERC
Order dated 24/05/23 for 1936 of 2022 - UPRVUNL vs UPPCL and ors - Resubmission of MYT petition for approval of ARR and Determination of Tariff for FY 2019-20 to FY 2023-24 in respect of Harduaganj Extension II   1 x 660 MW  Thermal Power Station of UPRVUNL in Petition no 1936/2022,Public Notice,GERC
"Order dated 23/05/23 for Petition Number 1591 of 2020- Executive Engineer Sultanpur  UPPTCCL   vs Smt Somna Devi and Others - Application for Interim Relief 
 in Petition no 1591/2020",Public Notice,GERC
"Order dated 23/05/23 for 1955 OF 2023 - Jaiprakash Power Ventures Limited VS UPPCL -- Direction to respondent to pay water tax required to be paid by the petitioner to the Govt. of Uttarakhand, water department (Water Department, GoUK) in Petition no 1955/2023",Public Notice,GERC
Order dated 23/05/23 for 1956 of 2023- UPPCL vs Mawana Sugar - Seeking Approval of Amended Power Purchase Agreement dated 03.01.2023 signed  between Mawana Sugars Ltd. and UPPCL to reduce the installed capacity from 54.5 MW (27.4 MW + 27.4 MW)to 50.5 MW (23.4 MW + 27.1 MW) in Petition no 1956/2023,Public Notice,GERC
"Order dated 23/05/23 for 1963 of 2023 -Upma Devi Tiwari vs Ex. En. EDd, Meja, PuVVNL, Allahabad -  142,146,147 of EA, 2003 in Petition no 1963/2023",Public Notice,GERC
"Order dated 22/05/23 for Petition Number 1578 of 2020- RPSCL vs UPPCL - Petition under Regulation 15 of UPERC (Terms and conditions for determination of Generation Tariff) Regulations 2019 read with Section 61, Section  62 and Section 86 of Electricity Act 2003 seeking approval of multi year tariff for the control period FY 2019-20 to FY 2023-24
 in Petition no 1578/2020",Public Notice,GERC
"Order dated 22/05/23 for Petition Number 1847 of 2022 - Distributed Solar Power Association vs UPSLDC and ors - Seeking directions to the respondents to appropriate orders for grant of prayers sought by the Present Petitioner
 in Petition no 1847/2022",Public Notice,GERC
Order dated 22/05/23 for 1888 of 2022- Maheswari Mining and Energy Pvt Ltd vs UPPCL and ors - Review petition for the final Order and judgement dated07.09.2022 passed by this Commission in Petition No 1751 of 2020 in Petition no 1888/2022,Public Notice,GERC
Order dated 22/05/23 for Petition Number 1959 of 2023 - Ghatampur Transmission Limited vs UPPCL UPPTCL and ors - Seeking Compensation on Account of force majeure and change in law events and other consequential reliefs in Petition no 1959/2023,Public Notice,GERC
