Title,type,ERC
"UPERC Facilitation of Telecommunication Network Regulations, 2022",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Verification of Generating Plants and Captive Consumers) Regulation, 2022",Public Notice,UPERC
"UPERC (Consumer Grievance Redressal Forum) Regulations, 2022",Public Notice,UPERC
"FIRST AMENDMENT TO UTTAR PRADESH ELECTRICITY REGULATORY COMMISSION (TERMS AND CONDITIONS OF GENERATION TARIFF) REGULATIONS, 2019",Public Notice,UPERC
UPERC(Rooftop Solar PV Grid Interactive System Gross / Net Metering)Regulations 2019 First Amendment /Addendum,Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Uttar Pradesh Electricity Regulatory Commission (Multi Year Tariff for Distribution and Transmission) Regulations, 2019 Second Amendment) Regulation,2022",Public Notice,UPERC
Amendment of Regulation 20 of UPERC (MYT for Distribution) Regulations 2014 and Regulation 16 of of UPERC (MYT for Distribution and Transmission) Regulations 2019 in regard to computation of incremental cost / fuel surcharge (Notified dt 05/06/20),Public Notice,UPERC
"UPERC (Merit Order Despatch and Optimization of Power Purchase) Regulations, 2021",Public Notice,UPERC
"U.P. ELECTRICITY REGULATORY COMMISSION (CONSUMER GRIEVANCE REDRESSAL FORUM & ELECTRICITY OMBUDSMAN) REGULATIONS (SECOND AMENDMENTS), 2020",Public Notice,UPERC
"UPERC (Fees & Charges of State Load Despatch Centre and other related matters) Regulation, 2020 (Notified dt 14/05/2020)",Public Notice,UPERC
"Procedure for Forecasting, Scheduling and Deviation Settlement of Solar and Wind Generation Sources, 2020",Public Notice,UPERC
"First Amendment/Addendum to UPERC (Captive and Renewable Energy Generating Plants), Regulations, 2019 (CRE Regulations, 2019))",Public Notice,UPERC
"UPERC (Standards of Performance) Regulations, 2019",Public Notice,UPERC
"UPERC Open Access Regulations, 2019",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Multi Year Tariff for Distribution and Transmission) Regulations, 2019",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Conduct of Business) Regulations, 2019",Public Notice,UPERC
"UPERC (Terms and Conditions of Generation Tariff) Regulation, 2019",Public Notice,UPERC
"UPERC (Captive and Renewable Energy Generating Plants) Regulations, 2019
(CRE Regulations, 2019)",Public Notice,UPERC
"UPERC (Promotion of Green Energy through Renewable Purchase Obligation) (First Amendment) Regulations, 2019",Public Notice,UPERC
"UPERC (Consumer Grievance Redressal Forum & Electricity Ombudsman) Regulations (First Amendment), 2019",Public Notice,UPERC
"Uttar Pradesh Electricity Regulatory Commission (Recruitment, Control and Service Conditions of Staff) Second Amendment Regulations, 2019",Public Notice,UPERC
"Amendment No. 13 - U.P. Electricity Supply Code, 2005",Public Notice,UPERC
First Addendum-Amendment to Uttar Pradesh Electricity Regulatory Commission (FEES AND FINES) Regulations 2010,Public Notice,UPERC
"UPERC (Rooftop Solar PV Grid Interactive System Gross / Net Metering) Regulations, 2019 (RSPV Regulations, 2019)",Public Notice,UPERC
"ABT (Solar & Wind) Regulation 2018 (Forecasting, Scheduling, Deviation Settlement and Related Matters)",Public Notice,UPERC
"Statement Of Reasons (ABT (Solar & Wind) Regulation 2018 (Forecasting, Scheduling, Deviation Settlement and Related Matters))",Public Notice,UPERC
"Amendment No. 10 to the U.P. Electricity Supply Code, 2005",Public Notice,UPERC
"Amendment No. 9 to the U.P. Electricity Supply Code, 2005",Public Notice,UPERC
