id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
1,PET,UP,"DR,TD","Distribution,Tariff",TRF,"Approval of ARR and Tariff for State Discoms for FY 2021-22, APR of FY 2020-21 and True-up of FY 2019-2021",21/04/2022,NULL,NULL,0000-00-00
21,GZT-FIN,UP,GN,Generation,REG,UPERC (Terms and Conditions of Generation Tariff),NULL,11/09/2019,NULL,0000-00-00
22,NT,UP,CS,Others,REG,"UPERC (Consumer Grievance Redressal Forum & Electricity Ombudsman)Regulations, 2007",0000-00-00,04/10/2007,0000-00-00,0000-00-00
24,GZT-FIN,DL,OTH,Others,REG,"DERC (Appointment of Consultants) (Amd) Regulations, 2014",0000-00-00,0000-00-00,12/02/2014,0000-00-00
28,GZT-FIN,WB,DR,Distribution,TRF,"WBERC Tariff Order for (WBSEDCL) FY-21, FY-22",28/03/2022,0000-00-00,0000-00-00,0000-00-00
30,GZT-FIN,WB,"DR,TD","Distribution,Tariff","TRF,ORD","WBERC Tariff Oder For (WBSEDCL), FY-21, FY-22",28/03/2022,0000-00-00,0000-00-00,0000-00-00
31,GZT-FIN,TS,"EV,GD,RE,SG","Renewables,Others",REG,"TSERC (Smart Grid) Regulation, 2021",0000-00-00,0000-00-00,02/07/2021,0000-00-00
32,SOR,TS,"EV,GD,RE,SG","Renewables,Others",REG,"TSERC (Smart Grid) Regulation, 2021",0000-00-00,0000-00-00,30/06/2021,0000-00-00
34,GZT-FIN,TS,DESM,"Market,",REG,"TSERC (Deviation Settlement Mechanism & related matters) Regulation, 2021",0000-00-00,0000-00-00,18/06/2021,0000-00-00
41,GZT-FIN,ML,TD,Tariff,REG,"MSERC (Multi Year Tariff) Regulations, 2014",0000-00-00,0000-00-00,15/09/2014,0000-00-00
43,SOR,TS,DESM,Market,REG,"TSERC (Deviation Settlement Mechanism & related matters) Regulation, 2021",0000-00-00,0000-00-00,16/06/2021,0000-00-00
46,GZT-FIN,AP,"DR,PS","Distribution, Market",REG,"APERC (Terms and Conditions for short-term procurement/sale of power) Regulation, 2022",10/02/2022,0000-00-00,0000-00-00,0000-00-00
47,GZT-FIN,TS,CS,Others,REG,TSERC (Establishment of  mechanism of redressal of grievances of the consumers ) Regulation 2015,16/09/2015,0000-00-00,0000-00-00,0000-00-00
48,TR-TUP,AP,"DR,TD","Distribution, Tariff",TRF,"APERC Tariff Order for (APSPDCL & APEPDCL) ARR (FY 21), Tariff (FY 21)",10/02/2020,0000-00-00,0000-00-00,0000-00-00
49,TR-TUP,AR,TD,Tariff,TRF,APSERC Tariff Order for (DHPD) ARR & Tariff (FY 20),20/12/2019,0000-00-00,0000-00-00,0000-00-00
50,TR-TUP,AP,"DR,TD","Distribution, Tariff",TRF,"APERC Tariff Order for (APSPDCL & APEPDCL) True-Up (FY 15, FY 17, FY 18, FY 19)",26/11/2020,0000-00-00,0000-00-00,0000-00-00
51,TR-TUP,BR,GN,Generation,TRF,BERC Tariff Order for (BSHPCL) True-up (FY 10),14/12/2021,0000-00-00,0000-00-00,0000-00-00
53,TR-TUP,AP,"GN,TD","Generation, Tariff",TRF,APERC Tariff Order for (APGENCO) ARR (FY 20 to FY 24),29/04/2019,0000-00-00,0000-00-00,0000-00-00
