S. No.,Title,Date,Public Notices / Other Details,Amendments
1,Statement of Reasons for Business Plan Regulations 2023,24/04/2023,Statement of Reasons for Business Plan Regulations 2023  Download (5.23 MB),
2,"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation) (First Amendment) Regulations, 2023",29/03/2023,"DERC (Renewable Purchase Obligation and Renewable Energy Certificate Framework Implementation)(First Amendment) Regulations,2023  Download (297.05 KB)",
3,"DERC (Terms and Conditions for Determination of Tariff) (First Amendment) Regulations, 2023",29/03/2023,"DERC (Terms and Conditions for Determination of Tariff) (First Amendment) Regulations, 2023  Download (269.43 KB)",
4,"DERC (Business Plan) Regulations, 2023",29/03/2023,"DERC (Business Plan) Regulations, 2023  Download (1.26 MB)",
5,"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Fourth Amendment) Guidelines, 2022",24/02/2022,,"Fourth Amendment- Guidelines, 2022  Download (109.63 KB)"
6,Revocation of Order dated 10.01.2022,03/02/2022,Download (134.84 KB),
7,"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Third Amendment) Guidelines, 2021",28/09/2021,,"Third Amendment- Guidelines, 2021  Download (223.87 KB)"
8,"Open Access Charges and related matters (Fourth Amendment) Order, 2021",03/09/2021,Download (52.57 KB),
9,Revocation of Order dated 27.04.2021,22/06/2021,Download (133.2 KB),
10,Order dated 27.04.2021 in the matter of Suspension of Standards of Performance,27/04/2021,Download (196.71 KB),
11,"Schedule of Charges and the Procedure (Sixth Amendment) Order, 2021",15/04/2021,"Schedule of Charges and the Procedure (Sixth Amendment) Order, 2021  Download (253.93 KB)  
 Explanantory Note  Download (245.48 KB)  
Annexure-I  Download (211.67 KB)",
12,"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) (Second Amendment) Guidelines, 2020",24/12/2020,,"Second Amendment- Guidelines, 2020  Download (246.33 KB)"
13,"DERC (Group Net Metering and Virtual Net Metering for Renewable Energy) (First Amendment) Guidelines, 2020",20/10/2020,,Download (89.4 KB)
14,Refund of Security Deposit and other credits towards final settlement on termination of connection,25/08/2020,Download (152.62 KB),
15,Relaxation Order dated 04.05.2020 in the matter of Provisional billing for industrial and non-domestic consumers,04/05/2020,Download (65.88 KB),
16,Advisory for release of electricity connection to charging stations for electric vehicles,04/03/2020,Download (149.86 KB),
17,"Statement of Reasons DERC (Business Plan) Regulations, 2019",29/01/2020,"Statement of Reasons DERC (Business Plan) Regulations, 2019  Download (1.06 MB)",
18,"Schedule of Charges and the Procedure (Fifth Amendment) Order, 2019",30/12/2019,Download (253.48 KB),
19,"DERC (Business Plan) Regulations, 2019",27/12/2019,Business Plan Regulations 2019  Download (1010.73 KB),
20,"DERC (Power System Development Fund) Regulations, 2019",27/12/2019,PSDF Regulations  Download (366.67 KB),
21,"Order dated 23.10.2019 in the matter of Schedule of Charges and the Procedure (Fourth Amendment) Order, 2019",23/10/2019,Download (258.88 KB),
22,Resolution of various issues relating to grant of new electricity connection to a building having total height upto 17.5 meters,31/05/2019,Download (106.79 KB),
23,"Order dated 31.05.2019 in the matter of Delhi Electricity Supply Code and Performance Standards (Relaxation) Second Order, 2019",31/05/2019,Download (217.97 KB),
24,"Delhi Electricity Regulatory Commission (Group Net Metering and Virtual Net Metering for Renewable Energy) Guidelines, 2019",31/05/2019,Download (248.51 KB),
25,"Delhi Electricity Regulatory Commission (Supply Code and Performance Standards) (Fourth Amendment) Regulations, 2019",24/05/2019,Download (243.56 KB),
26,"Delhi Electricity Regulatory Commission (Supply Code and Performance Standards) (Fourth Amendment) Regulations, 2019.",24/05/2019,"Delhi Electricity Regulatory Commission (Supply Code and Performance Standards) (Fourth Amendment) Regulations, 2019  Download (243.56 KB)",
27,Review of timing for customer care centers,16/04/2019,Download (142.89 KB),
28,"Notification for Manual of Practices for Handling Consumers’ Complaints, 2019",27/02/2019,Download (530.52 KB),
